koi_period,koi_duration,koi_depth,koi_prad,koi_snr,koi_disposition,mission
3.238542,1.9431251999999999,1000.0,1.67,10.0,CANDIDATE,Transit
3.2367,1.94202,1000.0,1.58,10.0,CANDIDATE,Transit
6.2719092,3.76314552,1000.0,60.0,10.0,CANDIDATE,Transit
23.7782,14.266919999999999,1000.0,98.0,10.0,FALSE POSITIVE,Transit
1.42636,0.8558160000000001,1000.0,6.66,10.0,CANDIDATE,Transit
3.979287,2.3875722,1000.0,37.5,10.0,CANDIDATE,Transit
2.1417519,1.2850511400000002,1000.0,86.2,10.0,CANDIDATE,Transit
12.1507,7.290420000000001,1000.0,1.48,10.0,CANDIDATE,Transit
2.4343734,1.4606240400000001,1000.0,61.4,10.0,CANDIDATE,Transit
1.8490876,1.10945256,1000.0,17.3,10.0,CANDIDATE,Transit
2.620724,1.5724344000000001,1000.0,11.7,10.0,CANDIDATE,Transit
2.620799,1.5724793999999997,1000.0,37.0,10.0,CANDIDATE,Transit
2.62077,1.572462,1000.0,58.0,10.0,CANDIDATE,Transit
1.314437,0.7886622000000001,1000.0,3.09990986,10.0,CANDIDATE,Transit
1.3144014,0.78864084,1000.0,2.78,10.0,CANDIDATE,Transit
4.8045244,2.88271464,1000.0,3.62,10.0,CANDIDATE,Transit
6.479656,3.8877936,1000.0,3.33165021,10.0,CANDIDATE,Transit
6.48167,3.8890020000000005,1000.0,3.46,10.0,CANDIDATE,Transit
6.4804111,3.8882466600000005,1000.0,3.39,10.0,CANDIDATE,Transit
2.8445331,1.7067198600000002,1000.0,65.3,10.0,CANDIDATE,Transit
0.6687,0.40122,1000.0,2.22,10.0,CANDIDATE,Transit
13.3461,8.007660000000001,1000.0,42.0,10.0,CANDIDATE,Transit
4.13737,2.482422,1000.0,24.5,10.0,CANDIDATE,Transit
4.1376047,2.48256282,1000.0,7.33,10.0,CANDIDATE,Transit
2.469851,1.4819106,1000.0,6.6,10.0,CANDIDATE,Transit
0.689647,0.41378820000000005,1000.0,6.58,10.0,CANDIDATE,Transit
4.1687922,2.5012753200000004,1000.0,16.1,10.0,CANDIDATE,Transit
21.17051,12.702306,1000.0,81.0,10.0,CANDIDATE,Transit
5.31937553733,3.191625322398,1000.0,19.66846395,10.0,CANDIDATE,Transit
5.319075,3.191445,1000.0,20.0,10.0,CANDIDATE,Transit
