koi_period,koi_duration,koi_depth,koi_prad,koi_snr,koi_disposition,mission
2.6282553,2.0930597,75.2858004,0.9817044,10.0,CONFIRMED,TESS
3.4239436,1.9601023,443.6391381,1.7581475,10.0,CONFIRMED,TESS
10.983042,3.7478987,725.1724567,2.5070075,10.0,CONFIRMED,TESS
17.726449,3.4404719,747.7725499,2.261664,10.0,CONFIRMED,TESS
40.7199388,4.2436925,355.619391,3.2352713,10.0,CONFIRMED,TESS
14.7741056,5.504,15041.0,15.3936,10.0,CANDIDATE,TESS
79.3739596,5.392,1227.0,2.17454,10.0,FALSE POSITIVE,TESS
18.1663644,2.464,624.0,2.80447,10.0,CONFIRMED,TESS
105.5850893,11.6068811,462.9116325,2.5033335,10.0,CONFIRMED,TESS
27.2149622,3.7190483,4731.4046225,8.3475973,10.0,FALSE POSITIVE,TESS
19.1807264,3.9621084,544.5602695,2.4311768,10.0,CONFIRMED,TESS
1.2124493,0.9984653,501.2911711,0.879419,10.0,CONFIRMED,TESS
4.5541831,7.8146963,187.8286128,0.8887417,10.0,CONFIRMED,TESS
41.4856125,6.6899368,959.7522291,12.5121956,10.0,CONFIRMED,TESS
13.7738265,2.9992376,338.2166234,1.8971927,10.0,CONFIRMED,TESS
1.9142544,3.256,248.0,2.04421,10.0,CONFIRMED,TESS
5.0780325,1.2100353,5923.1283069,2.6347763,10.0,CONFIRMED,TESS
70.3607265,1.0325441,1353.9678246,8.2807306,10.0,CANDIDATE,TESS
91.6827832,9.7504857,713.2183569,3.239855,10.0,CONFIRMED,TESS
10.1944993,2.2648785,317.3261147,2.7392825,10.0,CONFIRMED,TESS
14.64319,2.5483426,242.7923919,3.41248,10.0,FALSE POSITIVE,TESS
4.1782656,1.675904,2537.6781602,2.1023854,10.0,CONFIRMED,TESS
17.9453645,3.0740072,5480.684864,3.3839124,10.0,CONFIRMED,TESS
13.896396,3.5885605,748.5332881,2.4586343,10.0,CONFIRMED,TESS
8.1213102,3.1040945,594.6443745,2.3157186,10.0,CONFIRMED,TESS
3.9287851,1.8165271,485.9762569,2.329279,10.0,CONFIRMED,TESS
27.3613778,4.0586418,20690.6684294,6.4522449,10.0,CONFIRMED,TESS
29.0497517,7.117,318.0,2.84674,10.0,CONFIRMED,TESS
