koi_period,koi_duration,koi_depth,koi_prad,koi_snr,koi_disposition
13.118962443,4.3045,372.2,8.25,267.4,CANDIDATE
4.618767792,5.9957,4399.1,7.48,270.1,FALSE POSITIVE
7.82187328,3.8417,42.2,2.78,37.2,CANDIDATE
53.5057611,10.5616,195.6,2.52,71.2,CANDIDATE
2.785821236,3.5599,68.9,1.69,53.6,CONFIRMED
3.411758679,3.158,570.6,14.71,35.6,FALSE POSITIVE
0.525426427,1.0801,324.6,1.45,63.6,FALSE POSITIVE
1.269091415,1.4647,340.9,1.41,73.5,CONFIRMED
2.853133997,1.465,277.1,1.36,39.7,CONFIRMED
6.79685353,3.1702,393.1,2.01,29.8,CONFIRMED
1.475323222,2.3155,154.9,5.88,27.2,CONFIRMED
4.15246118,2.5755,223.4,7.62,24.5,CONFIRMED
8.7348852,4.49,270.7,1.59,24.8,CONFIRMED
10.26547688,3.733,399.6,1.81,20.1,FALSE POSITIVE
13.4471791,3.0454,1428.2,5.24,105.3,CANDIDATE
0.651784374,2.0141,2779.3,33.65,195.2,FALSE POSITIVE
3.99751422,3.686,32.8,2.98,6.1,FALSE POSITIVE
1.592633181,5.5605,633.1,1.56,66.9,FALSE POSITIVE
67.5923754,12.249,4158.1,12.1,60.9,CONFIRMED
17.02902786,4.645,568.9,2.54,29.8,CONFIRMED
6.84619236,3.529,246.8,1.67,17.7,CONFIRMED
67.8321638,7.358,507.8,2.39,15.5,CONFIRMED
43.1312147,3.198,447.8,2.39,11.8,CONFIRMED
1.224866441,1.7086,196.0,1.54,21.1,CONFIRMED
37.8102649,8.733,570.3,2.33,35.2,CONFIRMED
25.93406406,4.6142,414.5,2.48,42.2,CONFIRMED
83.4463485,6.536,503.0,2.73,36.1,CONFIRMED
7.04710032,2.926,400.9,25.2,24.0,FALSE POSITIVE
12.99204853,6.0175,270.6,2.03,38.7,CONFIRMED
11.11620211,4.211,4843.9,8.96,115.3,FALSE POSITIVE
1.922861499,3.5734,1916.2,5.09,103.4,FALSE POSITIVE
0.635445336,1.8592,2547.4,19.0,182.2,FALSE POSITIVE
52.09081627,8.6388,2894.1,7.14,243.5,CONFIRMED
7.1548608,7.694,780.4,7.41,24.2,FALSE POSITIVE
4.28746668,1.5693,790.1,2.29,19.4,CONFIRMED
2.002779769,2.231,260.5,1.42,22.2,FALSE POSITIVE
8.18739443,3.0472,517.6,1.92,38.4,CONFIRMED
76.0498163,7.158,445.9,1.75,17.4,CONFIRMED
3.341799486,2.9254,178.2,1.67,48.8,CONFIRMED
